    SUBJECT,  LINK OF RECOMMENDED CHANNEL,  RECOMMENDED PLAYLIST (IF ANY),   AREA OF EXPERTISE,    LANGUAGE
Chemistry,https://youtube.com/@ChemRankers?si=aCJOtxsdJ5MUKZbP,https://youtube.com/playlist?list=PLW1Y7Rfg4m8Jhs-s_VfYWgWzwTqYUvxJb&si=dbTNzoZhS2ZKn7O9,Engineering Chemistry,Hindi
Network Theory,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRgLR-hMp7wem-bdVN1iEhsh&si=qNy2FO1qMzxzUxdF,Electronics,English
Operating System,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRiVhbXDGLXDk_OQAeuVcp2O&si=oxtbR1ctKsMyfL0s,Computer Science,English
MATHEMATICS,https://youtube.com/@BhagwanSinghVishwakarma?si=j5plIWDF8X3oxYYV,,Engineering Mathematics,Hindi
Theory of Computation & Automata,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRgp46KUv4ZY69yXmpwKOIev&si=5j4TKcz8f3PUmCGh,Computer Science,English
Engineering Drawing ,https://youtube.com/@TIKLESACADEMY?si=wk5igRgLdjtUIoeY,,Engineering Drawing ,Hindi
Computer Networks,https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRgMCUAG0XRw78UA8qnv6jEx&si=b3df65Hq5AM9rIwM,Computer Science,English
Different Programing Languages,https://youtube.com/@CollegeWallahbyPW?si=XtDcG38IsOMeIo2w,,Coding ,Hindi 
Database Management System (DBMS),https://youtube.com/@nesoacademy?si=7Vk3i4XSRIR0YZN-,https://youtube.com/playlist?list=PLBlnK6fEyqRiyryTrbKHX1Sh9luYI0dhX&si=HUXKhcT8Fxj3eVUO,Computer Science,English
MATHEMATICS,https://youtube.com/@UnacademyAtoms?si=k3pULN8_53ONFOyV,https://youtube.com/playlist?list=PLYFlGICvnvLi-6VMmu2Safry84f-jXoOX&si=ZD9ju5TY60KFShir,Jee Mathematics,Hindi
Chemistry,https://youtube.com/@UnacademyAtoms?si=k3pULN8_53ONFOyV,https://youtube.com/playlist?list=PLYFlGICvnvLgtUsAXwDlIa1aRS2agfNT3&si=ye2cftcWA6DolnRR,Jee Chemistry,Hindi
Physics,https://youtube.com/@UnacademyAtoms?si=k3pULN8_53ONFOyV,https://youtube.com/playlist?list=PLYFlGICvnvLi1GBjojJkTjJW6zW79SvbM&si=bLgpW0sJ3A7I988V,Jee Physics,Hindi
Physics,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxx7JTc1LrRyFxF3AcmSjZ7f&si=NLzMXkEsdxjOYYJi,Class 11 Physics,Hindi
Physics,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxy0pEfJnG-9T-eEQQEGTRq9&si=aA5ndLOLOXuupjRR,Class 12 Physics,Hind
Chemistry,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxwVKH-6FUggWFjxyxVGSpVv&si=raaU2XTeBeoP38S9,Class 12 Physical Chemistry,Hindi 
Chemistry,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxwJ6d3MRxuAQ-mD9JpMm2AL&si=E3QVF4icX6tojfOG,Class 12 Organic Chemistry,HInd
Chemistry ,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxyOF5Z5dwYp3RXcgiIktsid&si=m9-petIqs95zZODe,Class 11 Chemistry,Hindi
MATHEMATICS,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxwiLTnQMoAywngddGOZ--BH&si=5xgN5IMbZ0fvMab-,Class 11 Mathematics,Hindi
MATHEMATICS,https://youtube.com/@JEEVedantu?si=bt2KLP2YCRgqDyfK,https://youtube.com/playlist?list=PLCtUyOrCJbxys_A_7508nC4UewsClvzkG&si=nC_l2-K98mtPJu0r,Class 12 Mathematics,Hindi
Biology ,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhXosneNbewi0Dp5Y0tnh5Ge&si=d0JXxbUUvc46oMTu,Class 12 Biology,Hindi
Biology ,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhXuBRmnH3CwHsk3ZzNHbXmG&si=lLH3RExwrwLJBR-5,Class 10 Biology,Hindi
Biology ,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,Class 11 Biology ,Hindi
Biotechnology,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,Class 11 Biotechnology,Hindi
Biotechnology,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,Class 12 Biotechnology ,Hindi
Psycology,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,Class 12 Psycology,Hindi
Political Science,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,Class 11 Political Science,Hindi
Political Science,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhUuHQ1s3LnwUr8upe_AW0zo&si=jfP7rqNuLhIMf_vl,Class 12 Political Science,Hindi
Geography,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhW6mkhyM7NRnTQ3m1Aj8g2I&si=2qJawAU7qK8dVzw-,Class 10 Geography,Hindi
Geography,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhVQfHsAe7Bxt2V8vZEHXelc&si=E3OaecxHq-_Oqpo2,Class 11 Geography,Hindi
Geography,https://youtube.com/@MagnetBrainsEducation?si=-wBeKN8kL3o0RK6w,https://youtube.com/playlist?list=PLVLoWQFkZbhX_x_bmvgVo1yMrV_eDtAEF&si=F3HBzCQu4TpJLsuq,Class 12 Geography,Hindi
Web Development ,https://youtube.com/@ApnaCollegeOfficial?si=SWlxBkFaA1Wdan_g,https://youtube.com/playlist?list=PLfqMhTWNBTe3H6c9OGXb5_6wcc1Mca52n&si=PKAxYFIRHlAfHAj6,Coding ,Hindi
,,,,Hindi
,,,,Hindi
